Designator, SKU,Qty,,,
40 pos 2 row socket header-tall,1992,1,https://www.pololu.com/product/2749,2.95,2.95
2 pos socket header 2.54mm,1012,1,https://www.pololu.com/product/1012,0.29,0.29
4 pos socket header 2.54mm,1014,4,https://www.pololu.com/product/1014,0.39,1.56
6 pos socket header 2.54m,1016,4,https://www.pololu.com/product/1016,0.49,1.96
2 pos screw terminal 3.5mm,2444,8,https://www.pololu.com/product/2444,0.375,3.00
40 pos breakaway pin header,965,1,https://www.pololu.com/product/965,0.75,0.75
2 pos shorting block 2.54mm,970,4,https://www.pololu.com/product/970,0.19,0.76
Raspberry Pi Model 3,3055,1,https://www.pololu.com/product/2759,39.95,39.95
HX711 carrier boards,CHENBO,4,https://www.amazon.com/dp/B01D1FECVI/ref=cm_sw_r_cp_dp_T1_z.gozbGZ390B2,01.997,08.00
bare main board pcb,SEEED,1,,.5,0.50
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,54.52